time,temperature_2m,relative_humidity_2m,precipitation
2026-08-19 01:00:00,20.5,93,0.0
2026-08-19 02:00:00,20.2,93,0.0
2026-08-19 03:00:00,19.9,95,0.0
2026-08-19 04:00:00,19.7,95,0.0
2026-08-19 05:00:00,19.9,94,0.0
2026-08-19 06:00:00,20.6,90,0.0
2026-08-19 07:00:00,21.6,84,0.0
2026-08-19 08:00:00,22.8,78,0.0
2026-08-19 09:00:00,24.1,72,0.0
2026-08-19 10:00:00,25.6,65,0.0
2026-08-19 11:00:00,26.6,61,0.0
2026-08-19 12:00:00,26.9,60,0.1
2026-08-19 13:00:00,26.7,60,0.1
2026-08-19 14:00:00,26.2,63,0.1
2026-08-19 15:00:00,25.1,69,0.9
2026-08-19 16:00:00,23.6,78,0.9
2026-08-19 17:00:00,22.4,87,0.9
2026-08-19 18:00:00,21.8,90,0.3
2026-08-19 19:00:00,21.5,92,0.3
2026-08-19 20:00:00,21.2,93,0.3
2026-08-19 21:00:00,21.0,94,0.1
2026-08-19 22:00:00,20.8,96,0.1
2026-08-19 23:00:00,20.7,97,0.1
2026-08-20 00:00:00,20.5,97,0.0
2026-08-20 01:00:00,20.2,97,0.0
2026-08-20 02:00:00,20.1,97,0.0
2026-08-20 03:00:00,20.0,97,0.0
2026-08-20 04:00:00,20.0,97,0.0
2026-08-20 05:00:00,20.2,95,0.0
2026-08-20 06:00:00,20.8,91,0.0
2026-08-20 07:00:00,21.7,86,0.0
2026-08-20 08:00:00,22.7,80,0.0
2026-08-20 09:00:00,24.1,73,0.1
2026-08-20 10:00:00,25.7,66,0.1
2026-08-20 11:00:00,26.8,62,0.1
2026-08-20 12:00:00,26.3,66,1.6
2026-08-20 13:00:00,25.8,69,1.6
2026-08-20 14:00:00,25.0,74,1.6
2026-08-20 15:00:00,24.1,79,1.6
2026-08-20 16:00:00,23.3,85,1.6
2026-08-20 17:00:00,22.6,88,1.6
2026-08-20 18:00:00,22.2,91,0.2
2026-08-20 19:00:00,21.8,92,0.2
2026-08-20 20:00:00,21.5,93,0.2
2026-08-20 21:00:00,21.2,94,0.2
2026-08-20 22:00:00,20.9,94,0.2
2026-08-20 23:00:00,20.7,94,0.2
