time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-18 06:00:00,20.6,94,0.0,13.1
2026-08-18 07:00:00,21.8,87,0.0,16.4
2026-08-18 08:00:00,23.4,78,0.0,17.8
2026-08-18 09:00:00,24.7,72,0.1,16.8
2026-08-18 10:00:00,25.5,68,0.0,16.6
2026-08-18 11:00:00,27.3,62,0.2,16.4
2026-08-18 12:00:00,28.9,56,0.2,17.7
2026-08-18 13:00:00,29.5,53,0.2,18.3
2026-08-18 14:00:00,29.2,53,0.2,18.9
2026-08-18 15:00:00,27.7,60,0.8,21.1
2026-08-18 16:00:00,24.3,89,2.0,11.9
2026-08-18 17:00:00,25.9,70,0.2,20.5
2026-08-18 18:00:00,24.5,75,0.0,18.1
2026-08-18 19:00:00,23.7,78,0.0,13.8
2026-08-18 20:00:00,22.7,86,0.0,14.0
2026-08-18 21:00:00,22.0,90,0.0,14.1
2026-08-18 22:00:00,21.5,92,0.0,13.9
2026-08-18 23:00:00,21.3,93,0.0,13.1
2026-08-19 00:00:00,20.9,95,0.0,12.3
2026-08-19 01:00:00,20.6,96,0.0,11.4
2026-08-19 02:00:00,20.5,97,0.0,10.9
2026-08-19 03:00:00,20.5,97,0.0,10.9
2026-08-19 04:00:00,20.7,96,0.0,11.4
2026-08-19 05:00:00,21.1,93,0.0,12.0
2026-08-19 06:00:00,21.8,89,0.0,12.8
2026-08-19 07:00:00,22.7,84,0.0,14.2
2026-08-19 08:00:00,23.6,79,0.0,15.3
2026-08-19 09:00:00,24.7,74,0.1,15.5
2026-08-19 10:00:00,25.9,69,0.1,15.5
2026-08-19 11:00:00,26.6,66,0.1,15.7
2026-08-19 12:00:00,26.6,68,0.9,16.0
2026-08-19 13:00:00,26.2,72,0.9,16.4
2026-08-19 14:00:00,25.8,75,0.9,16.9
2026-08-19 15:00:00,25.6,75,0.6,18.1
2026-08-19 16:00:00,25.4,74,0.6,19.9
2026-08-19 17:00:00,25.0,74,0.6,20.4
2026-08-19 18:00:00,24.2,78,0.1,19.2
2026-08-19 19:00:00,23.2,84,0.1,16.9
2026-08-19 20:00:00,22.3,89,0.1,15.0
2026-08-19 21:00:00,21.8,92,0.0,14.0
2026-08-19 22:00:00,21.5,93,0.0,13.5
2026-08-19 23:00:00,21.3,94,0.0,12.9
2026-08-20 00:00:00,21.1,95,0.0,12.3
2026-08-20 01:00:00,21.0,95,0.0,11.8
2026-08-20 02:00:00,21.0,95,0.0,11.5
2026-08-20 03:00:00,20.9,95,0.0,11.3
2026-08-20 04:00:00,21.0,95,0.0,11.3
2026-08-20 05:00:00,21.3,92,0.0,11.8
2026-08-20 06:00:00,22.1,88,0.0,13.4
2026-08-20 07:00:00,23.1,82,0.0,15.7
2026-08-20 08:00:00,24.2,76,0.0,17.4
2026-08-20 09:00:00,25.4,71,0.2,18.0
2026-08-20 10:00:00,26.7,65,0.2,18.1
2026-08-20 11:00:00,27.8,60,0.2,18.6
2026-08-20 12:00:00,28.7,57,0.3,20.2
2026-08-20 13:00:00,29.3,54,0.3,22.4
2026-08-20 14:00:00,29.5,53,0.3,23.9
2026-08-20 15:00:00,29.0,54,0.2,24.3
2026-08-20 16:00:00,27.9,57,0.2,24.3
2026-08-20 17:00:00,26.7,62,0.2,23.7
2026-08-20 18:00:00,25.4,68,0.0,21.6
2026-08-20 19:00:00,24.1,75,0.0,18.6
2026-08-20 20:00:00,22.9,81,0.0,16.4
2026-08-20 21:00:00,22.3,84,0.0,15.7
2026-08-20 22:00:00,21.9,85,0.0,15.8
2026-08-20 23:00:00,21.5,87,0.0,15.6
2026-08-21 00:00:00,21.0,90,0.0,15.2
2026-08-21 01:00:00,20.6,93,0.0,14.9
2026-08-21 02:00:00,20.2,95,0.0,14.7
2026-08-21 03:00:00,19.5,96,0.0,14.7
2026-08-21 04:00:00,19.5,96,0.0,14.7
2026-08-21 05:00:00,19.8,93,0.0,15.3
2026-08-21 06:00:00,20.6,88,0.0,16.1
2026-08-21 07:00:00,22.0,80,0.0,17.3
2026-08-21 08:00:00,23.6,72,0.0,18.9
2026-08-21 09:00:00,25.2,65,0.0,20.3
2026-08-21 10:00:00,26.6,59,0.0,21.8
2026-08-21 11:00:00,27.4,57,0.0,22.8
2026-08-21 12:00:00,27.7,56,0.3,23.6
2026-08-21 13:00:00,27.5,57,0.3,24.3
2026-08-21 14:00:00,27.2,60,0.3,24.6
2026-08-21 15:00:00,26.6,63,0.3,24.8
2026-08-21 16:00:00,25.9,66,0.3,24.8
2026-08-21 17:00:00,25.3,69,0.3,24.6
2026-08-21 18:00:00,24.6,72,0.0,23.7
2026-08-21 19:00:00,23.7,76,0.0,22.3
2026-08-21 20:00:00,22.8,81,0.0,20.6
2026-08-21 21:00:00,21.9,85,0.0,19.0
2026-08-21 22:00:00,21.1,89,0.0,17.5
2026-08-21 23:00:00,20.6,92,0.0,16.3
